タイムスタンプ,授業名の頭文字で選択してください,授業名を選択してください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,授業名を選択してください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,授業名を選択してください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,授業名を選択してください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,授業名を選択してください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,授業の全体感について教えてください [単位取得のしやすさ],授業の全体感について教えてください [高評価の取得のしやすさ],授業の全体感について教えてください [授業の面白さ],出欠は取りますか？,課題(リアぺ含む)・小テストはありましたか？(あったものを選択してください),課題(リアぺ含む)や小テストがある場合、その難易度や負担はどの程度でしたか？,試験の有無について教えてください,試験や期末レポートがあった場合、その難易度や負担はどの程度でしたか？,この授業の口コミやアドバイスを教えてください(自由記述)
2021/9/3 22:31,さ行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,心理学Ⅰ,,,,,,,,,,,,,,,,,,,,,,寺澤 悠理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,5(しやすい、面白い),なし,リアクションペーパー,楽,ペーパーテスト,普通,"内容は面白いのだが、90分未満の動画に内容がつまっていて疲れを感じることも多かった。毎回のリアペは楽。授業で扱うものの量が多いために期末テストの対策は大変かもしれない。ただ、授業の内容をしっかり復習していれば高評価を得ることは容易。テストは完全に記述式であるため、自分で論理的に授業内容を追って復習することが重要だと思う。逆に、記述式が苦手であればこの授業は避けるのが吉かもしれない。"
2021/9/3 22:34,さ行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,人類学Ⅰ,,,,,,,,,,,,,,,,,,,,,,,,,,河野 礼子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5(しやすい、面白い),5(しやすい、面白い),2,なし,小テスト,普通,期末レポート,楽,"個人的にはあまり面白くなかったが、期限を守って提出すれば高評価がとれる。期末レポートとは名ばかりのちょっとしたものだった。来週の授業までに小テストを受ければいいため融通のきく授業といえる。"
2021/9/3 22:34,た行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,天文学Ⅰ,,,,,,,,,,,,,,下条 圭美,,,,,,,,,,,,,,,,,,,,,,,4,4,4,あり,"小テスト, リアクションペーパー",楽,なし,楽,オンデマンドの授業再生して小テストとリアペ出せば単位くる。去年より単位取りにくいみたいなこと聞いたけど、別にそんなことない。むしろ楽。
2021/9/3 22:35,さ行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,社会学Ⅰ,,,,,,,,,,,,,,,,,宮本 万里,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1(しにくい、面白くない),1(しにくい、面白くない),なし,"課題(問題演習や小レポート、プレゼンテーションなど), リアクションペーパー",普通,期末レポート,普通,"①環境破壊。②小レポート、期末レポートを出せばくる。④、⑤教授がよく欠伸をしていて、眠そうである。"
2021/9/3 22:38,な行以降(な、は、ま、や、ら、わ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,倫理学Ⅰ,,,,,,,,,,,,,,,杉本 俊介,,,,5(しやすい、面白い),4,5(しやすい、面白い),なし,リアクションペーパー,楽,期末レポート,楽,ビジネス倫理学の授業。ビジネスと聞くだけで嫌気がさすタイプの人間なのだが、身近なトピックや基本的なものを扱ったため興味深く感じることも多く面白かった。先生の解説もわかりやすい。 毎回小テストがあるが非常に簡単。期末にはオンラインテストとレポートが課されるのだが、テストは小テストのものがランダムででるだけで、レポートも普通。
2021/9/3 22:38,さ行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,政治学Ⅰ,,,,,,,,,,,,,,,,,,,,,,,,,,,,岡山 裕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1(しにくい、面白くない),1(しにくい、面白くない),2,なし,特になし,,ペーパーテスト,きつい,それなりに勉強をしてテストに臨みましたが普通に落としました。テストの形式としては大問2つの論述で、暗記のみで受けると危険です。
2021/9/3 22:38,な行以降(な、は、ま、や、ら、わ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,料理と科学Ⅰ,,,,,,,,,,,,,,フラキ， アントニノ,,,,,1(しにくい、面白くない),1(しにくい、面白くない),2,なし,課題(問題演習や小レポート、プレゼンテーションなど),きつい,期末レポート,きつい,①オールイングリッシュでいつでも見れるオンデマンド授業。中間と期末レポートの２つで成績評価。十数問の質問に対してそれぞれ答えを記述する形式。少しの遅れには寛容だが採点は甘くない。対面の頃は超楽単だったらしいが今は鬼。③帰国子女でも理科がさっぱりだと着いていけない。レジュメだけ読んで書こうとしても何も理解できなかった。⑥理科を全く知らないﾄﾞ文系ならば絶対に履修すべきではない。必ず後悔する。分子や原子など最低限の理科の知識があれば英語力はそれほど問題にはならないだろう。ただ先生はイタリア人なので非常に訛りが強く聞き取りづらい。
2021/9/3 22:44,さ行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,社会学Ⅰ,,,,,,,,,,,,,,,,,藤川 千歳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,2,あり,特になし,楽,期末レポート,普通,期末レポートが提出不備になっていても単位くれた。神すぎる。
2021/9/3 22:45,た行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中国事情,,,,,,,,,,,,櫻庭 ゆみ子,,,,,,,,,,,,,,,,,,,,,,,,,4,4,1(しにくい、面白くない),あり,リアクションペーパー,楽,期末レポート,普通,"シラバスを見た段階では、中国の文学を通して社会を見る、的なやつだと思っていたのだが、実際は文学者の生い立ちをつらつらと述べられるだけで私にとっては非常に退屈な授業だった。毎回のリアペをこなせれば正直授業を聞いていなくても単位は余裕でくる。レポートで扱う作品は授業で扱ってないものでもOKだからだ。良い点としては、履修者が少ないため期末レポートの提出期限が遅いということがあげられる。また、事前に申し出てくれれば延長も可能という話だった。授業は退屈だが、先生の人柄は良いと感じたため、理不尽なことは起こりえないように思う。"
2021/9/3 22:46,な行以降(な、は、ま、や、ら、わ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,倫理学Ⅰ,,,,,,,,,,,,,,,杉本 俊介,,,,5(しやすい、面白い),5(しやすい、面白い),4,なし,"課題(問題演習や小レポート、プレゼンテーションなど), 小テスト",楽,期末レポート,普通,簡単
2021/9/3 22:47,か行,,,,,,,言語学Ⅰ,,,,,,,,,,,,,,,,,,,,,,,,平沢 慎也,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5(しやすい、面白い),3,5(しやすい、面白い),なし,小テスト,きつい,オンラインテスト,普通,授業をしっかり聞いていないと点数が取れない
2021/9/3 22:47,さ行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,心理学Ⅰ,,,,,,,,,,,,,,,,,,,,,,田谷 修一郎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5(しやすい、面白い),5(しやすい、面白い),5(しやすい、面白い),なし,小テスト,楽,ペーパーテスト,楽,面白い
2021/9/3 22:48,さ行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,生物学Ⅰ（実験を含む）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上村 佳孝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5(しやすい、面白い),4,3,なし,課題(問題演習や小レポート、プレゼンテーションなど),普通,なし,普通,優しい先生
2021/9/3 22:51,た行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東アジアの伝統と挑戦,,,,,,岩間 一弘／高橋 智／前田 廉孝／三尾 裕子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,2,あり,リアクションペーパー,楽,期末レポート,きつい,"オムニバス形式で、いろんな学問分野のいろんな大学の教授が授業をしてくれる。基本zoomだが、zoomの録画がupされる。翌週までにリアペを出せばOK。私はzoomに参加せず録画で受けていたのだが、Aがきたため評価に差は出ないと思われる。いろんな学問分野を扱うため、当たり外れが大きい。自分の興味のない週は寝落ち必須だった。期末は授業内試験で、50分で800字レポート×2が課された。内容は、春学期の授業から好きなものをふたつ選んで考察や感想を述べるといったもの。私は後半時間が足りずごっちゃごちゃな文章を提出したがちゃんと単位がきた。"
2021/9/3 22:52,た行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,地理学Ⅰ,,,,,,,,,,,大島 英幹,,,,,,,,,,,,,,,,,,,,,,,,,,1(しにくい、面白くない),2,2,なし,課題(問題演習や小レポート、プレゼンテーションなど),楽,期末レポート,普通,楽でした
2021/9/3 22:53,さ行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,心理学Ⅰ,,,,,,,,,,,,,,,,,,,,,,小松 英海,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5(しやすい、面白い),5(しやすい、面白い),5(しやすい、面白い),なし,"課題(問題演習や小レポート、プレゼンテーションなど), 小テスト",楽,期末レポート,楽,小テスト受けて、レジュメor指定の教科書見て期末レポ書けば単位くる。
2021/9/3 22:58,か行,,,,,,,言語学Ⅲ,,,,,,,,,,,,,,,,,,,,,,,,,辻 幸夫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5(しやすい、面白い),1(しにくい、面白くない),2,なし,課題(問題演習や小レポート、プレゼンテーションなど),きつい,なし,普通,①リアタイ授業。大抵1時間程度で早めに終わる。出欠は取らない。3週授業→4週目は授業なしでレポート、の流れを繰り返す。合計3回のレポートで成績評価。必須の教科書は3600円。③授業は見ておくとレポートを書くときの参考になるらしい。大仏並みに優しい先生なのだが、授業は少しだけ退屈なので眠気に頑張って抗おう。⑥噂では超楽単と聞くが、レポートが信じられないくらい難しい。1回目は気合で乗り切ったが2回目は教科書だけじゃ手も足も出なかった。全く意味の分からないテーマにも臆せず2〜3000字論じられるガッツのある人にオススメ。出席ゼロ、レポート提出1回でCが来ました。
2021/9/3 22:59,さ行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,社会学Ⅰ,,,,,,,,,,,,,,,,,澤田 唯人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5(しやすい、面白い),なし,"課題(問題演習や小レポート、プレゼンテーションなど), 小テスト, リアクションペーパー",普通,期末レポート,普通,"授業内容は、現代の社会問題とかを扱っていてすごく面白いし、毎回新鮮味がある。ただ、いろんな人が心に持つ傷に刺さる内容だからそういうのがきつい人は苦しいかもしれない。でもそういうのに向き合ってこそ心が軽くなるような思いもしたから、興味があれば取ったらいいと思う。単位は毎回の授業に対するコメントを授業後2日以内ぐらいに掲示板にコメントすれば最低でもAはくるって先生が言ってた。2,3日遅れても多分平気。高評価が欲しかったら任意の期末レポートを出すのが一番いいと思う。小説形式でテーマに沿って書くっていうもので、出したらSきた。先生は本当に優しいしイケメンだし猫がかわいい。メールにも真摯に対応してくれる。マジでおすすめの授業だけど、個人的には単位狙いならやめた方がいいと思う。何にも考えないで受けれる授業ではないし、逆にしんどいと思う。でも身近にある問題を扱う珍しい社会学だし、そういうのに興味があれば絶対取るべき。"
2021/9/3 23:00,さ行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,心理学Ⅰ,,,,,,,,,,,,,,,,,,,,,,井垣 竹晴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5(しやすい、面白い),4,4,あり,小テスト,普通,期末レポート,楽,最後のレポートは、心理学の新書の要約とそれに関する感想、記述を書くというもの。頑張ったら1日で終わる。
2021/9/3 23:01,な行以降(な、は、ま、や、ら、わ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,論理学Ⅰ,,,,,,,,,,,,,,,,,,佐々木 昭則,4,4,4,なし,"課題(問題演習や小レポート、プレゼンテーションなど), 小テスト",きつい,ペーパーテスト,普通,数学できないと厳しい
2021/9/3 23:03,さ行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,女性学,,,,,,,,,,,,,,,,,,,,辻 佐保子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5(しやすい、面白い),あり,"課題(問題演習や小レポート、プレゼンテーションなど), 小テスト, リアクションペーパー",きつい,オンラインテスト,普通,"◎課題・テストについて:オンデマンド授業を一週間内に見ればよく、毎回リアぺを提出。小テストも毎回あるけど授業の穴埋めだから全然平気。リアぺと小テストが出席の代わり。計3回、指定された中から好きな映画を見て（実費）問題提起をして考察分析レポートあり。期末レポートも含めて大体どれも2000～2500字。テストはオンラインでしかも授業内容の穴埋めなので普通に受ければほぼ満点が取れる。①授業内容はジェンダー論や女性の権利の取得の過程とか、性差別の話など。なんとなくで履修したけれども、はっとさせられる話が結構多くて面白い授業で履修してよかったなと思う。②出すもんさえ出してれば絶対に単位は来ます。期末レポと期末試験（オンライン）の割合が高いのでこれは両方絶対にやること。やらなかったら落単決定だと思います。この授業はレポートが高評価取れるかだと思います。（期末テストは上記の通り簡単）映画の考察分析（音響とか演者の服装とかに着目）をうまく授業内容と結び付けてレポートが書ければ好成績は望めると思います。教授はちょっと怖い感じがする。課題等の形式について質問をしても明確には答えてくれなかったり、反論されたりするのでちょっとビビりました。でも成績はちゃんとつけてくれたっぽいので全然悪い人じゃないです。淡々と話しているのではなくて、人を惹きつける話し方で聞きやすかった。⑥厳しい先生かなって印象が最初から最後まであってよい成績は望めないかなと思ったけど、いざ成績を見てみるとSなので、頑張ればどうにかなりそうです、頑張ってください。映画を見てレポートを書くの楽しそうとか思う人いそうですが、ぶっちゃけ私は結構きつかったです。感想じゃなくて考察分析なので、映画を結構神経使って見ることになって疲れるし時間も取られるしで大変。面白い映画とも限らない。もし履修するなら見る映画はなるべく有名で短時間の映画を見ることがおすすめ（）"
2021/9/3 23:04,さ行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,心理学Ⅰ,,,,,,,,,,,,,,,,,,,,,,寺澤 悠理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,なし,リアクションペーパー,楽,ペーパーテスト,きつい,"授業内容は個人的には面白かった。オンデマンドだからそんなに長くないし、毎回軽いリアぺがあるぐらいだから普段の授業は楽。単位は対面期末テストの比重が重いから直前には勉強しないと無理。記述式だったからわりかし難しい、試験手応えなかったけどAきたから普段のリアペコツコツ出してればBぐらいは安パイかも。教授は可愛くていい人そう。毎回の映像に生徒も楽しめるようなもの出してくれるから好きだった。"
2021/9/3 23:04,か行,,,,,,,化学Ⅰ（実験を含む）,土居 志織,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5(しやすい、面白い),5(しやすい、面白い),5(しやすい、面白い),あり,課題(問題演習や小レポート、プレゼンテーションなど),普通,なし,,"①日常の化学です。物理化学的な内容、材料化学的な内容が好みの人は他の先生のシラバスを見てみてと先生自身がおっしゃっていました。隔週対面実験。オンラインの日は、先生お手製のスライドが配信され、それを参考にレポート(いつもA4、1枚)を書く。実験の日は、実験レポートを授業終わりに提出。学期末にはプレゼンがあり、生徒同士で評価し合う。生徒からの評価が高いプレゼンは加点。②オンラインレポートをそれなりの完成度で毎回出すこと。実験に出席し、レポートをきちんと書くこと。③私は化学基礎までしかやっておらず、その内容すら抜け気味の文系でしたが、真面目にやっていたらSきました。④よく笑う。かわいい。実験の助手？の藤田先生と仲良し。⑤オンラインで配布されたスライドがユーモアで溢れている。小瀬村先生のマッチョ写真を見ました。⑥化学に自信がなくても大丈夫。先生のスライドや、300円で買う教科書を読めばわかる。実質毎週レポート提出があるが、こつこつやることが大切です。"
2021/9/3 23:08,さ行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,女性学,,,,,,,,,,,,,,,,,,,,辻 佐保子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,5(しやすい、面白い),なし,"小テスト, リアクションペーパー",楽,オンラインテスト,普通,"女性学だから女性差別問題だろって思ってとったけど、そうでもなかった。社会問題の根幹にある差別構造とかをわかりやすく説明してくれたし、毎回新しい発見があったから授業内容は面白い。4回に一回自分で先生がリストアップした中から一本映画見てレポート書く。これが意外としんどいからこういうの無理な人は向いてない。普段のリアペと小テスト（穴埋め）は楽。期末もオンラインテストでプリント見てできるけど何故か期末レポートもついてた。レポート書くの嫌いな人はしんどいと思う。テスト一発型が苦手な人におすすめ。"
2021/9/3 23:08,さ行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,社会における性Ⅰ,,,,大坪 真利子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5(しやすい、面白い),5(しやすい、面白い),5(しやすい、面白い),なし,リアクションペーパー,楽,期末レポート,楽,授業内容は基本的にはジェンダー論とほぼ変わらないと思います。先生がリアペの質問にかなり答えてくれるので、ジェンダー関連に興味がある方におすすめです。
2021/9/3 23:10,な行以降(な、は、ま、や、ら、わ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,文学Ⅰ,,,,,,,,,,,,加藤 有佳織,,,,,,,5(しやすい、面白い),5(しやすい、面白い),5(しやすい、面白い),なし,課題(問題演習や小レポート、プレゼンテーションなど),楽,期末レポート,楽,日本語訳がない本は英語で読むことになるので、英語を避けたい方にはおすすめしないです。作品の内容は興味深いですし、自分でレポートのテーマを決められるので、楽しくレポートに取り組めました。
2021/9/3 23:11,さ行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,社会学Ⅰ,,,,,,,,,,,,,,,,,土居 洋平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5(しやすい、面白い),5(しやすい、面白い),5(しやすい、面白い),あり,課題(問題演習や小レポート、プレゼンテーションなど),普通,期末レポート,普通,"①社会学の色んな側面にちょっとずつ触れていく感じ。農村、都市、環境など。②毎回指定されるレポートを6/13出すこと。期末レポートを出す。③私は13回全て小レポを出しました。期末レポートもそれなりのクオリティでSでした。小レポに関しては、先生からフィードバックのメールが来ます。良いレポートがかけていると、個別にそこにメッセージが来るので参考にしていました。④喋り方が面白い。良い人が滲み出てる。⑤ずっと録音とスライドのみの授業でした。録音で効果音が使われており、生徒を飽きさせない工夫がされているなぁと思います。⑥最初の授業で前年の成績比率を出してくれたり、良いレポートにはフィードバックを出してくれたりと、成績を取りたい人は何かと手厚いためおすすめです。"
2021/9/3 23:14,さ行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,社会における性Ⅰ,,,,大坪 真利子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5(しやすい、面白い),4,なし,リアクションペーパー,普通,期末レポート,普通,ジェンダー、セクシュアリティ、性差別、性的少数者などがテーマです。これらのテーマを学ぶための基礎を学ぶとシラバスにあるように、自分の考えを持つための基本的な言葉や考え方を学べます。毎回100字で授業内容の大事だと思うところを書くことと1000字の期末レポートが課題です。期末レポートでは授業内で出た単語を丁寧に使う必要があります。ふざける学生には冷たい印象です。興味があれば苦になる要素はないと思います。一方興味がないなら取るべきでないと思います。
2021/9/3 23:16,さ行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,心理学Ⅰ,,,,,,,,,,,,,,,,,,,,,,田谷 修一郎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5(しやすい、面白い),5(しやすい、面白い),5(しやすい、面白い),なし,小テスト,楽,ペーパーテスト,楽,"①視覚を重視した心理学。ちょっとイメージとは違ったが、科学的で面白かった。②毎回の小テストを答えること。③小テストやオンラインの中間試験は答えが見られるので必ず満点をとる。対面の試験も授業を聞いていればわかる内容でした。私は対面試験の時簡単すぎて30分くらい寝ていましたが、Sきました。④毎回の授業の冒頭で、「はい、心理学担当の田谷です」とおっしゃいます。東大の教授で真面目。⑤目撃証言の信ぴょう性について扱った回が1番面白かった。⑥抽選になるのもうなずける、真の楽単でした。内容も面白いです。"
2021/9/3 23:28,さ行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,心理学Ⅰ,,,,,,,,,,,,,,,,,,,,,,田谷 修一郎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5(しやすい、面白い),5(しやすい、面白い),5(しやすい、面白い),なし,"課題(問題演習や小レポート、プレゼンテーションなど), 小テスト",楽,ペーパーテスト,楽,"出欠無しオンデマンド、レジュメ毎週配布。""記憶""、""注意""とかがメインの心理学で、錯視・アハ体験？的な題材も扱う。内容が普通に面白いうえに、テストもマークシート＋用語の問題10問くらいでめちゃめちゃ簡単。テストの前の時間にプリント眺めたくらいで臨んだけどSきた。課題は毎週の授業内容に関するクイズ5問くらい、学期を通じて2回中間クイズだった。これもプリント見れば余裕だし、満点取るまで何回も受けられる。満点とれたらそれを成績に加点してくれる。教授が仏すぎてありがたかった。"
2021/9/3 23:28,か行,,,,,,,近代思想史Ⅰ,,,,,,,,,,,川添 美央子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,3,あり,課題(問題演習や小レポート、プレゼンテーションなど),普通,期末レポート,普通,キリスト教の内容を学ぶ、講義をしっかり聞いて課題に取り組めば高評価は取れる
2021/9/3 23:31,さ行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,心理学Ⅰ,,,,,,,,,,,,,,,,,,,,,,寺澤 悠理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,あり,"課題(問題演習や小レポート、プレゼンテーションなど), 小テスト, リアクションペーパー",楽,ペーパーテスト,楽,心理学とは何かから学べるため、興味のない人でも十分楽しめる内容、テストは記述式の問題が出るが講義をしっかり聞いてれば難しくない
2021/9/3 23:34,た行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,天文学Ⅰ,,,,,,,,,,,,,,下条 圭美,,,,,,,,,,,,,,,,,,,,,,,4,3,3,あり,"小テスト, リアクションペーパー",普通,なし,,地球や太陽、その他の惑星などを扱う内容で文系にも理解できるように簡潔に教えていただける、毎回の小テストの点数の合計で評価は決まり自分で評価はどのくらいなのかは予想できる、小テストでは計算問題の配点が高くSを取りたいなら計算を落とさないようにすべき
2021/9/3 23:35,な行以降(な、は、ま、や、ら、わ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,文化人類学Ⅰ,,,,,,,,,,,法橋 量,,,,,,,,5(しやすい、面白い),4,2,あり,特になし,,ペーパーテスト,楽,①ひたすら先生が話したり、動画を見たりする授業。先生の専門がドイツなので、ドイツに興味があると授業全般面白いと思うが、文化遺産やヨーロッパの祭りなど、さまざまな分野を取り上げるので、自分の好きな分野の授業を聞いておけば良い。②出席点があるので、授業には出るべき。内職は全然できる。⑥試験は単元ごとの大問で、どれか１つ？２つ？(忘れました、すみません)を答えるだけなので、自分が好きな分野を選べんで答えればよく、楽。電子機器以外の全ての持ち込みが可能。試験前にはレジュメを大量にに印刷し、それを参考にして論述を書けば、相当おかしいことを書かなければ単位は来ると思われる。
2021/9/3 23:35,な行以降(な、は、ま、や、ら、わ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,倫理学Ⅰ,,,,,,,,,,,,,,,西山 晃生,,,,5(しやすい、面白い),3,4,なし,特になし,,期末レポート,普通,"出欠無オンデマンド、課題ゼロ、期末レポ一発。毎週50~60分くらいの動画が配信される。内容は学者ごとの倫理観をそれぞれ見たり比較したりする感じで、別に面白くはないけど具体例と一緒に詳しく解説してくれるから理解はできる。期末レポは、学期を通して扱った題材からひとつ選んでそれについて論じるみたいな感じだった(たしかA4用紙1枚分とか)。割と頑張って書いてＢだったけど、レポート書くの得意な人ならササっと書いてＡとか取れそう。単位は確実にくる。"
2021/9/3 23:38,な行以降(な、は、ま、や、ら、わ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,歴史Ⅰ,,,,,,,,,,,,,,,,片山 杜秀,,,4,4,4,なし,特になし,,期末レポート,普通,陸軍の歴史について場合によっては江戸まで遡って考察を展開されていた、4000字レポート一発勝負なので文章を書くのが苦手な人は避けた方がいいかも、ただしその分文章をしっかり書けばちゃんと評価はしてくれて比較的高評価は取りやすいイメージ
